id,analysis_id,stratum_1,stratum_2,stratum_3,stratum_4,stratum_5,count_value,min_value,max_value,avg_value,stdev_value,median_value,p10_value,p25_value,p75_value,p90_value
0,1815,8134511163,0,8507,,,1,0,0,0,,0,0,0,0,0
0,1815,8152411154,0,8507,,,24,0,0.69,0.18,0.19,0,0,0,0,0.06
0,1815,8151711182,0,8532,,,3,0,0.18,0.06,0.1,0,0,0,0,0
0,1815,8141811175,0,8532,,,1,0,0,0,,0,0,0,0,0
0,1815,8154411150,0,8507,,,7,0,10.7,1.76,3.99,0,0,0,0,1.6
0,1815,8159311162,0,8532,,,193,0,57,3.75,9.22,0,0,0,0,0
0,1815,8116611172,0,8532,,,1814,0,99,5.22,14.22,0,0,0,0,0
0,1815,8157711143,0,8532,,,2203,0,100,7.75,19.92,0,0,0,0,0
0,1815,8124111161,0,8507,,,2,0,4,2,2.83,0,0,0,0,0
0,1815,8129011156,0,8532,,,29,0,675,125,209.17,0,0,0,0,0
0,1815,8139911175,0,8507,,,4,0,0,0,0,0,0,0,0,0
0,1815,8114511170,0,8532,,,855,0,18.1,0.28,1.55,0,0,0,0,0
0,1815,8155311148,0,8507,,,1,0,0,0,,0,0,0,0,0
0,1815,8148111140,0,8532,,,1,0,0,0,,0,0,0,0,0
0,1815,8136411161,0,8532,,,2,0,0,0,0,0,0,0,0,0
0,1815,8149911173,0,8507,,,1,0,0,0,,0,0,0,0,0
0,1815,8122811154,0,8507,,,2,0,256,128,181.02,0,0,0,0,0
0,1815,8156411151,0,8507,,,4,0,0.05,0.01,0.03,0,0,0,0,0
0,1815,8153611176,0,8532,,,33,0,16,4.39,4.84,0,0,0,0,0
0,1815,8154711193,0,8507,,,4,0,5,1.25,2.5,0,0,0,0,0
0,1815,8118311189,0,8532,,,1,1,1,1,,0,0,0,0,0
0,1815,8154311157,0,8532,,,362,0,0.54,0.01,0.05,0,0,0,0,0
0,1815,8120411161,0,8507,,,1,1.2,1.2,1.2,,0,0,0,0,0
0,1815,8115311172,0,8532,,,1,0,0,0,,0,0,0,0,0
0,1815,8133811164,0,8532,,,9,0,35.55,8.02,13.5,0,0,0,0,0
0,1815,8122811160,0,8507,,,1,0,0,0,,0,0,0,0,0
0,1815,8117011143,0,8532,,,1,0,0,0,,0,0,0,0,0
0,1815,8145211166,0,8532,,,126,0,6,0.46,0.98,0,0,0,0,0
0,1815,8132211150,0,8532,,,566,0,79,0.26,3.56,0,0,0,0,0
0,1815,8137211151,0,8507,,,3023,0,22,0.1,0.86,0,0,0,0,0
0,1815,8138111170,0,8507,,,1,0,0,0,,0,0,0,0,0
0,1815,8116111161,0,8532,,,5,0,0.05,0.01,0.02,0,0,0,0,0
0,1815,8154111166,0,8507,,,1,0,0,0,,0,0,0,0,0
0,1815,8153811167,0,8507,,,1,0,0,0,,0,0,0,0,0
0,1815,8123111169,0,8507,,,2927,0,71,0.27,2.34,0,0,0,0,0
0,1815,8142211169,0,8532,,,41,0,0.3,0.02,0.06,0,0,0,0,0
0,1815,8112711168,0,8507,,,16,0,4,0.69,1.2,0,0,0,0,0
0,1815,8157411170,0,8532,,,1,0,0,0,,0,0,0,0,0
0,1815,8151811167,0,8507,,,1,0,0,0,,0,0,0,0,0
0,1815,8127911159,0,8532,,,1,0,0,0,,0,0,0,0,0
0,1815,8135911178,0,8507,,,1,0,0,0,,0,0,0,0,0
0,1815,8112411163,0,8507,,,4,0,1,0.25,0.5,0,0,0,0,1
0,1815,8126511173,0,8507,,,22,0,0,0,0,0,0,0,0,0
0,1815,8119111173,0,8507,,,1,0,0,0,,0,0,0,0,0
0,1815,8131711156,0,8532,,,13,0,79.3,8.86,22.33,0,0,0,0,0
0,1815,8115311182,0,8532,,,1,2,2,2,,0,0,0,0,0
0,1815,8116511162,0,8507,,,52,0,182,11.44,29.33,0,0,0,0,0
0,1815,8136211155,0,8532,,,6791,0,8,0.23,0.46,0,0,0,0,0
0,1815,8136211155,0,8507,,,4824,0,28,0.29,0.67,0,0,0,0,0
0,1815,8135211175,0,8532,,,2,0,0,0,0,0,0,0,0,0
0,1815,8144711154,0,8532,,,1,8.5,8.5,8.5,,0,0,0,0,0
0,1815,8141211153,0,8532,,,2983,0,99,1.19,7.29,0,0,0,0,0
0,1815,8140911166,0,8507,,,153,0,500,24.51,76.08,0,0,0,0,0
0,1815,8144711164,0,8507,,,12,0,7.2,1.33,2.62,0,0,0,0,0
0,1815,8154311171,0,8507,,,4,0,0,0,0,0,0,0,0,0
0,1815,8129811164,0,8507,,,1,0,0,0,,0,0,0,0,0
