"id","concept_id","value_as_concept_id","concept_name","type","est_count"
556,3007957,0,"MIN","NUM",0.1
557,3008090,0,"MAX","NUM",11367
558,3008090,0,"MIN","NUM",9
559,3008091,0,"MAX","NUM",1255
560,3008091,0,"MIN","NUM",0.12
561,3008108,0,"MAX","NUM",77
562,3008108,0,"MIN","NUM",0
563,3008142,0,"MIN","NUM",0.1
564,3008142,0,"MAX","NUM",8.4
565,3008152,0,"MAX","NUM",327
566,3008152,0,"MIN","NUM",-21.9
567,3008251,0,"MIN","NUM",5
568,3008251,0,"MAX","NUM",5
569,3008268,0,"MAX","NUM",8
570,3008268,0,"MIN","NUM",8
571,3008269,0,"MAX","NUM",55.4
572,3008269,0,"MIN","NUM",0.8
573,3008295,0,"MAX","NUM",3320
574,3008295,0,"MIN","NUM",4
575,3008342,0,"MAX","NUM",6830
576,3008342,0,"MIN","NUM",0
577,3008364,0,"MIN","NUM",30
578,3008364,0,"MAX","NUM",270
579,3008377,0,"MIN","NUM",15
580,3008377,0,"MAX","NUM",607
581,3008429,0,"MIN","NUM",1
582,3008429,0,"MAX","NUM",11
583,3008440,0,"MIN","NUM",5.4
584,3008440,0,"MAX","NUM",142.8
585,3008496,0,"MIN","NUM",10.1
586,3008496,0,"MAX","NUM",1653.9
587,3008504,0,"MAX","NUM",18
588,3008504,0,"MIN","NUM",18
589,3008512,0,"MAX","NUM",1673
590,3008512,0,"MIN","NUM",0.1
591,3008575,0,"MIN","NUM",52
592,3008575,0,"MAX","NUM",1876
593,3008598,0,"MAX","NUM",27
594,3008598,0,"MIN","NUM",0
595,3008625,0,"MIN","NUM",4
596,3008625,0,"MAX","NUM",29596
597,3008833,0,"MAX","NUM",100
598,3008833,0,"MIN","NUM",0
599,3008839,0,"MAX","NUM",20
600,3008839,0,"MIN","NUM",0
601,3008848,0,"MAX","NUM",110
602,3008848,0,"MIN","NUM",5
603,3008869,0,"MIN","NUM",8
604,3008869,0,"MAX","NUM",8
605,3008893,0,"MAX","NUM",4820
606,3008893,0,"MIN","NUM",0.04
607,3008901,0,"MIN","NUM",0.16
608,3008901,0,"MAX","NUM",0.55
609,3008907,0,"MAX","NUM",3.68
610,3008907,0,"MIN","NUM",0
611,3008912,0,"MAX","NUM",16
612,3008912,0,"MIN","NUM",2
613,3008955,0,"MIN","NUM",0.1
614,3008955,0,"MAX","NUM",50.2
615,3009010,0,"MAX","NUM",364
616,3009010,0,"MIN","NUM",1
617,3009041,0,"MAX","NUM",162.5
618,3009041,0,"MIN","NUM",0
619,3009066,0,"MIN","NUM",0
620,3009066,0,"MAX","NUM",57627
621,3009118,0,"MAX","NUM",141
622,3009118,0,"MIN","NUM",0
623,3009172,0,"MIN","NUM",36
624,3009172,0,"MAX","NUM",1232
625,3009178,0,"MAX","NUM",328
626,3009178,0,"MIN","NUM",2
627,3009201,0,"MIN","NUM",0
628,3009201,0,"MAX","NUM",1670
629,3009208,0,"MAX","NUM",85.5
630,3009208,0,"MIN","NUM",0.1
631,3009214,0,"MIN","NUM",0.1
632,3009214,0,"MAX","NUM",200
633,3009288,0,"MIN","NUM",0
634,3009288,0,"MAX","NUM",100
635,3009306,0,"MIN","NUM",0.9
636,3009306,0,"MAX","NUM",1002
637,3009312,0,"MAX","NUM",324
638,3009312,0,"MIN","NUM",0
639,3009314,0,"MIN","NUM",2
640,3009314,0,"MAX","NUM",16
641,3009383,0,"MIN","NUM",1.2
642,3009383,0,"MAX","NUM",42.8
643,3009399,0,"MAX","NUM",9.79
644,3009399,0,"MIN","NUM",9.79
645,3009429,0,"MIN","NUM",8
646,3009429,0,"MAX","NUM",620
647,3009445,0,"MAX","NUM",1712
648,3009445,0,"MIN","NUM",0
649,3009453,0,"MAX","NUM",25
650,3009453,0,"MIN","NUM",25
651,3009471,0,"MIN","NUM",0.07
652,3009471,0,"MAX","NUM",11.52
653,3009490,0,"MIN","NUM",0
654,3009490,0,"MAX","NUM",648975
655,3009542,0,"MAX","NUM",94
656,3009542,0,"MIN","NUM",9
657,3009682,0,"MIN","NUM",0.1
658,3009682,0,"MAX","NUM",23130
659,3009710,0,"MAX","NUM",127
660,3009710,0,"MIN","NUM",11
661,3009736,0,"MIN","NUM",5.3
662,3009736,0,"MAX","NUM",56.5
663,3009744,0,"MIN","NUM",0
664,3009744,0,"MAX","NUM",3420
665,3009754,0,"MAX","NUM",12.2
666,3009754,0,"MIN","NUM",12.2
667,3009797,0,"MIN","NUM",0
668,3009797,0,"MAX","NUM",77.3
669,3009883,0,"MAX","NUM",13.9
670,3009883,0,"MIN","NUM",0.16
671,3009927,0,"MAX","NUM",8271
672,3009927,0,"MIN","NUM",10
673,3009930,0,"MAX","NUM",461
674,3009930,0,"MIN","NUM",0
675,3009932,0,"MAX","NUM",4.4
676,3009932,0,"MIN","NUM",0
677,3009966,0,"MIN","NUM",0
678,3009966,0,"MAX","NUM",2572
679,3009991,0,"MAX","NUM",47
680,3009991,0,"MIN","NUM",0.4
681,3010007,0,"MAX","NUM",1
682,3010007,0,"MIN","NUM",1
683,3010077,0,"MAX","NUM",2180
684,3010077,0,"MIN","NUM",2
685,3010084,0,"MIN","NUM",0.1
686,3010084,0,"MAX","NUM",85.8
687,3010156,0,"MAX","NUM",525.1
688,3010156,0,"MIN","NUM",0.1
689,3010277,0,"MAX","NUM",72
690,3010277,0,"MIN","NUM",0
691,3010340,0,"MAX","NUM",1450
692,3010340,0,"MIN","NUM",0.5
693,3010354,0,"MAX","NUM",59.1
694,3010354,0,"MIN","NUM",0.1
695,3010375,0,"MAX","NUM",7090
696,3010375,0,"MIN","NUM",0
697,3010391,0,"MIN","NUM",4
698,3010391,0,"MAX","NUM",3944
