id,analysis_id,"stratum_1","stratum_2","stratum_3","stratum_4","stratum_5",count_value,source_count_value
1200129,3106,"45591610","8","Condition","","",3,3
1200130,3106,"44823389","8","Condition","","",3,3
1200131,3106,"35211058","8","Condition","","",3,3
1200132,3106,"45568281","8","Condition","","",3,3
1200133,3106,"4089860","8","Condition","","",3,0
1200134,3106,"4010823","8","Condition","","",3,73
1200135,3106,"372423","8","Condition","","",3,0
1200136,3106,"4144933","8","Condition","","",3,43
1200137,3106,"4012870","8","Condition","","",3,108
1200138,3106,"260245","8","Condition","","",3,0
1200139,3106,"4019958","8","Condition","","",3,0
1200140,3106,"315293","8","Condition","","",3,6
1200141,3106,"4013748","8","Condition","","",3,0
1200142,3106,"439794","8","Condition","","",3,37
1200143,3106,"195240","8","Condition","","",3,1
1200144,3106,"141371","8","Condition","","",3,83
1200145,3106,"254177","8","Condition","","",3,0
1200146,3106,"380114","8","Condition","","",3,0
1200147,3106,"45537750","8","Condition","","",3,3
1200148,3106,"44833355","8","Condition","","",3,3
1200149,3106,"35225071","8","Condition","","",3,3
1200150,3106,"44820580","8","Condition","","",3,3
1200151,3106,"45581515","8","Condition","","",3,3
1200152,3106,"45595618","8","Condition","","",3,3
1200153,3106,"45591435","8","Condition","","",3,3
1200154,3106,"44822993","8","Condition","","",3,3
1200155,3106,"44832598","8","Condition","","",3,3
1200156,3106,"44825523","8","Condition","","",3,3
1200157,3106,"44833299","8","Condition","","",3,3
1200158,3106,"44831040","8","Condition","","",3,3
1200159,3106,"44826499","8","Condition","","",3,3
1200160,3106,"44836844","8","Condition","","",3,3
1200161,3106,"45533144","8","Condition","","",3,3
1200162,3106,"35207644","8","Condition","","",3,3
1200163,3106,"35206031","8","Condition","","",3,3
1200164,3106,"44826007","8","Condition","","",3,3
1200165,3106,"376712","8","Condition","","",3,1
1200166,3106,"45757307","8","Condition","","",3,0
1200167,3106,"4046869","8","Condition","","",3,121
1200168,3106,"440350","8","Condition","","",3,0
1200169,3106,"375272","8","Condition","","",3,3
1200170,3106,"373204","8","Condition","","",3,8
1200171,3106,"43531054","8","Condition","","",3,0
1200172,3106,"374039","8","Condition","","",3,0
1200173,3106,"45772065","8","Condition","","",3,0
1200174,3106,"4150384","8","Condition","","",3,0
